nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
6,0.3333,0.2,0.0118,0.1667,0.05,0.0769,20.0,140.0,170.0,random_graph_20_20,7816,20,20,5,5,2,4,0,10,153.22356581687927,734.9363217353821,False,v2,original_ranking,6,"[(9, 18), (9, 16), (9, 14), (9, 12), (9, 1), (8, 9)]",0.1386027336120605,19.642674684524536,107.52179231299915
8,0.5,0.2,0.0235,0.5,0.2,0.2857,18.0,136.0,151.0,random_graph_20_20,3578,20,20,5,5,2,4,0,10,153.22356581687927,742.6752698421478,False,v2,original_ranking,8,"[(9, 4), (9, 18), (9, 15), (8, 4), (8, 0), (6, 18), (6, 15), (6, 12)]",0.1549999713897705,22.14396905899048,202.9366608057652
9,0.7778,0.1,0.0412,0.1111,0.05,0.069,27.0,150.0,169.0,random_graph_20_20,2656,20,20,5,5,2,4,0,10,153.22356581687927,744.9612247943878,False,v2,original_ranking,9,"[(9, 18), (9, 15), (9, 12), (7, 9), (7, 18), (7, 17), (7, 15), (7, 12), (7, 11)]",0.1739170551300048,23.89676642417908,88.08247444597387
8,0.125,0.35,0.0059,0.375,0.15,0.2143,19.0,76.0,123.0,random_graph_20_20,2688,20,20,5,5,2,4,0,10,153.22356581687927,750.4891011714935,True,v2,original_ranking,8,"[(9, 5), (9, 17), (9, 14), (9, 13), (8, 19), (8, 16), (8, 10), (7, 9)]",0.1210808753967285,17.948916912078857,140.19175539871338
7,0.5714,0.15,0.0235,0.0,0.0,,21.0,85.0,115.0,random_graph_20_20,2494,20,20,5,5,2,4,0,10,153.22356581687927,740.71675157547,False,v2,original_ranking,7,"[(9, 7), (9, 3), (9, 13), (9, 12), (7, 10), (6, 1), (5, 7)]",0.0691323280334472,8.698072671890259,149.78785782870852
9,0.4444,0.25,0.0235,0.2222,0.1,0.1379,19.0,137.0,185.0,random_graph_20_20,183,20,20,5,5,2,4,0,10,153.22356581687927,737.3167572021484,False,v2,original_ranking,9,"[(9, 19), (9, 18), (9, 17), (8, 13), (8, 12), (6, 3), (5, 10), (4, 2), (4, 11)]",0.1377589702606201,26.426882028579712,214.3443460103736
10,0.5,0.25,0.0294,0.2,0.1,0.1333,22.0,68.0,98.0,random_graph_20_20,7977,20,20,5,5,2,4,0,10,153.22356581687927,738.402560710907,False,v2,original_ranking,10,"[(9, 15), (9, 12), (9, 11), (9, 10), (9, 0), (8, 19), (8, 12), (8, 10), (7, 2), (7, 16)]",0.149937629699707,28.539017915725708,181.78332356719224
6,0.5,0.15,0.0176,0.3333,0.1,0.1538,22.0,91.0,123.0,random_graph_20_20,3199,20,20,5,5,2,4,0,10,153.22356581687927,740.2882091999054,False,v2,original_ranking,6,"[(9, 15), (8, 14), (8, 11), (7, 8), (7, 19), (7, 18)]",0.1040170192718505,12.208462953567505,197.0560403423252
10,0.7,0.15,0.0412,0.2,0.1,0.1333,23.0,140.0,183.0,random_graph_20_20,316,20,20,5,5,2,4,0,10,153.22356581687927,748.7635455131531,False,v2,original_ranking,10,"[(9, 6), (9, 2), (9, 16), (9, 14), (8, 7), (8, 6), (8, 4), (8, 2), (8, 17), (8, 14)]",0.1397733688354492,27.49879193305969,97.5510720127244
10,0.4,0.3,0.0235,0.4,0.2,0.2667,21.0,164.0,184.0,random_graph_20_20,8266,20,20,5,5,2,4,0,10,153.22356581687927,735.3474197387695,False,v2,original_ranking,10,"[(9, 5), (9, 0), (8, 0), (7, 6), (7, 3), (7, 2), (7, 19), (7, 13), (7, 12), (7, 1)]",0.08487772941589355,18.215189456939697,167.24237906119495
