dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
sachs,Random,0.000278,49,0.7347,0.7647,0.9474,0.0408,0.1176,0.0606,0.3265,0.9412,0.4848,0.0,0.0,0.0,37.0,16.0,58.0,0,7816
sachs,Random,0.000282,26,0.8846,0.1765,0.6053,0.1154,0.1765,0.1395,0.2692,0.4118,0.3256,0.0,0.0,0.0,36.0,49.0,49.0,1,3578
sachs,Random,0.000309,28,0.7857,0.3529,0.5789,0.1429,0.2353,0.1778,0.2857,0.4706,0.3556,0.0,0.0,0.0,35.0,39.0,48.0,2,2656
sachs,Random,0.000288,50,0.72,0.8235,0.9474,0.18,0.5294,0.2687,0.28,0.8235,0.4179,0.0,0.0,0.0,48.0,11.0,36.0,3,2688
sachs,Random,0.000285,15,0.8,0.1765,0.3158,0.0667,0.0588,0.0625,0.2667,0.2353,0.25,0.0,0.0,0.0,25.0,40.0,57.0,4,2494
sachs,Random,0.000306,48,0.7292,0.7647,0.9211,0.1667,0.4706,0.2462,0.3542,1.0,0.5231,0.0,0.0,0.0,41.0,10.0,41.0,5,183
sachs,Random,0.000295,39,0.7179,0.6471,0.7368,0.1538,0.3529,0.2143,0.3077,0.7059,0.4286,0.0,0.0,0.0,38.0,20.0,51.0,6,7977
sachs,Random,0.000306,49,0.7755,0.6471,1.0,0.0816,0.2353,0.1212,0.3265,0.9412,0.4848,0.0,0.0,0.0,43.0,23.0,53.0,7,3199
sachs,Random,0.000294,34,0.7647,0.4706,0.6842,0.1765,0.3529,0.2353,0.3529,0.7059,0.4706,0.0,0.0,0.0,36.0,40.0,46.0,8,316
sachs,Random,0.000293,22,0.9545,0.0588,0.5526,0.0,0.0,,0.2273,0.2941,0.2564,0.0,0.0,0.0,33.0,55.0,57.0,9,8266
