dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_5_edges_semantics_random,GRaSP,1.1294050216674805,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,0,7816
dag_5_nodes_5_edges_semantics_random,GRaSP,1.1836233139038086,6,0.5,0.6,0.6,0.5,0.6,0.5455,3.0,7.0,1,3578
dag_5_nodes_5_edges_semantics_random,GRaSP,1.1722915172576904,5,0.8,0.2,0.8,0.2,0.2,0.2,6.0,8.0,2,2656
dag_5_nodes_5_edges_semantics_random,GRaSP,0.9341754913330078,4,0.5,0.4,0.4,0.5,0.4,0.4444,4.0,9.0,3,2688
dag_5_nodes_5_edges_semantics_random,GRaSP,1.0983517169952393,4,0.5,0.4,0.4,0.5,0.4,0.4444,4.0,9.0,4,2494
dag_5_nodes_5_edges_semantics_random,GRaSP,0.5362367630004883,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,5,183
dag_5_nodes_5_edges_semantics_random,GRaSP,1.330920934677124,4,1.0,0.0,0.8,0.0,0.0,,7.0,12.0,6,7977
dag_5_nodes_5_edges_semantics_random,GRaSP,0.8890008926391602,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,7,3199
dag_5_nodes_5_edges_semantics_random,GRaSP,0.37898802757263184,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,8,316
dag_5_nodes_5_edges_semantics_random,GRaSP,0.6618435382843018,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,9,8266
dag_5_nodes_5_edges_semantics_random,GRaSP,0.2080843448638916,0,0.0,0.0,0.0,,0.0,,5.0,9.0,10,1532
dag_5_nodes_5_edges_semantics_random,GRaSP,1.846269130706787,5,0.8,0.2,0.8,0.2,0.2,0.2,6.0,8.0,11,1009
dag_5_nodes_5_edges_semantics_random,GRaSP,0.9630582332611084,2,1.0,0.0,0.4,0.0,0.0,,6.0,12.0,12,2250
dag_5_nodes_5_edges_semantics_random,GRaSP,1.0422425270080566,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,13,4447
dag_5_nodes_5_edges_semantics_random,GRaSP,0.7334482669830322,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,14,2415
dag_5_nodes_5_edges_semantics_random,GRaSP,1.1665489673614502,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,7.0,15,3595
dag_5_nodes_5_edges_semantics_random,GRaSP,0.5806143283843994,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,16,4187
dag_5_nodes_5_edges_semantics_random,GRaSP,1.5247111320495605,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,6.0,17,4135
dag_5_nodes_5_edges_semantics_random,GRaSP,1.5556931495666504,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,18,5174
dag_5_nodes_5_edges_semantics_random,GRaSP,1.2927041053771973,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,19,5303
dag_5_nodes_5_edges_semantics_random,GRaSP,0.9782590866088867,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,6.0,20,3942
dag_5_nodes_5_edges_semantics_random,GRaSP,1.597461223602295,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,21,2778
dag_5_nodes_5_edges_semantics_random,GRaSP,0.8556017875671387,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,22,2804
dag_5_nodes_5_edges_semantics_random,GRaSP,0.4388549327850342,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,23,2145
dag_5_nodes_5_edges_semantics_random,GRaSP,0.6981582641601562,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,7.0,24,150
dag_5_nodes_5_edges_semantics_random,GRaSP,1.191114902496338,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,25,8823
dag_5_nodes_5_edges_semantics_random,GRaSP,0.6497087478637695,0,0.0,0.0,0.0,,0.0,,5.0,9.0,26,4669
dag_5_nodes_5_edges_semantics_random,GRaSP,0.3191089630126953,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,6.0,27,6131
dag_5_nodes_5_edges_semantics_random,GRaSP,0.6658134460449219,4,0.5,0.4,0.4,0.5,0.4,0.4444,4.0,7.0,28,2617
dag_5_nodes_5_edges_semantics_random,GRaSP,0.9708156585693359,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,29,7166
dag_5_nodes_5_edges_semantics_random,GRaSP,0.475172758102417,0,0.0,0.0,0.0,,0.0,,5.0,9.0,30,1428
dag_5_nodes_5_edges_semantics_random,GRaSP,0.7389707565307617,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,6.0,31,8328
dag_5_nodes_5_edges_semantics_random,GRaSP,0.3743596076965332,0,0.0,0.0,0.0,,0.0,,5.0,9.0,32,8289
dag_5_nodes_5_edges_semantics_random,GRaSP,0.904926061630249,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,6.0,33,5978
dag_5_nodes_5_edges_semantics_random,GRaSP,1.5039889812469482,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,34,5511
dag_5_nodes_5_edges_semantics_random,GRaSP,0.35967421531677246,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,7.0,35,5864
dag_5_nodes_5_edges_semantics_random,GRaSP,1.4449255466461182,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,36,606
dag_5_nodes_5_edges_semantics_random,GRaSP,0.6648604869842529,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,6.0,37,1933
dag_5_nodes_5_edges_semantics_random,GRaSP,0.8059878349304199,6,0.5,0.6,0.6,0.5,0.6,0.5455,3.0,7.0,38,6071
dag_5_nodes_5_edges_semantics_random,GRaSP,0.9776384830474854,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,39,5504
dag_5_nodes_5_edges_semantics_random,GRaSP,1.7828059196472168,3,0.3333,0.4,0.2,0.6667,0.4,0.5,3.0,10.0,40,5163
dag_5_nodes_5_edges_semantics_random,GRaSP,1.1161935329437256,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,41,2406
dag_5_nodes_5_edges_semantics_random,GRaSP,0.6253290176391602,0,0.0,0.0,0.0,,0.0,,5.0,9.0,42,304
dag_5_nodes_5_edges_semantics_random,GRaSP,0.5168404579162598,0,0.0,0.0,0.0,,0.0,,5.0,9.0,43,3391
dag_5_nodes_5_edges_semantics_random,GRaSP,0.6779594421386719,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,44,359
dag_5_nodes_5_edges_semantics_random,GRaSP,0.5318772792816162,0,0.0,0.0,0.0,,0.0,,5.0,9.0,45,9096
dag_5_nodes_5_edges_semantics_random,GRaSP,1.253601312637329,3,0.3333,0.4,0.2,0.6667,0.4,0.5,3.0,10.0,46,3533
dag_5_nodes_5_edges_semantics_random,GRaSP,0.8852064609527588,4,1.0,0.0,0.8,0.0,0.0,,6.0,13.0,47,4125
dag_5_nodes_5_edges_semantics_random,GRaSP,1.0394854545593262,0,0.0,0.0,0.0,,0.0,,5.0,9.0,48,3094
dag_5_nodes_5_edges_semantics_random,GRaSP,0.7395579814910889,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,49,6398
